City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bredasdorp,50,ZA,1559411935,82,-34.53,20.04,55.4,1.12
Pecos,40,US,1559411935,45,31.42,-103.49,87.8,6.93
Kulhudhuffushi,89,MV,1559411935,74,6.62,73.07,85.55,9.93
Egvekinot,20,RU,1559411936,83,66.32,-179.17,29.57,7.38
Saravan,20,AM,1559411936,42,39.72,45.65,75.2,9.17
Turayf,0,SA,1559411936,14,31.68,38.65,96.8,6.93
Hamilton,90,CA,1559411937,68,43.26,-79.87,77.0,6.93
Lompoc,90,US,1559411683,93,34.64,-120.46,61.0,5.82
Christchurch,96,NZ,1559411836,80,-43.53,172.64,41.0,16.11
Chokurdakh,100,RU,1559411937,90,70.62,147.9,31.01,10.63
Susanville,1,US,1559411938,52,40.42,-120.65,66.99,8.05
Leningradskiy,0,RU,1559411938,90,69.38,178.42,30.65,8.95
Saint-Denis,0,FR,1559411938,39,48.94,2.36,84.0,9.17
Sechura,38,PE,1559411939,74,-5.56,-80.82,71.87,14.94
İdil,3,TR,1559411939,32,37.34,41.89,77.81,6.26
Wismar,0,DE,1559411939,60,53.89,11.46,70.0,8.05
Kumbo,92,CM,1559411940,87,6.21,10.69,67.55,2.19
Te Anau,59,NZ,1559411940,96,-45.41,167.72,33.71,2.95
El Alto,75,BO,1559411940,17,-16.5,-68.19,57.2,11.41
Havre-Saint-Pierre,90,CA,1559411941,57,50.23,-63.6,50.0,10.29
Lerwick,100,GB,1559411681,93,60.15,-1.15,53.6,10.29
Mar del Plata,100,AR,1559411941,81,-46.43,-67.52,47.75,13.2
Fredericton,1,CA,1559411941,32,45.97,-66.65,69.01,10.29
Narsaq,40,GL,1559411942,49,60.91,-46.05,48.2,8.05
Lufilufi,20,WS,1559411942,100,-13.87,-171.6,69.8,4.7
Delemont,0,CH,1559411942,39,47.36,7.34,82.4,2.24
Luau,89,CD,1559411942,40,-10.7,22.23,67.01,2.51
Saskylakh,6,RU,1559411943,76,71.97,114.09,39.11,9.71
Newport,98,GB,1559411943,56,51.59,-3.0,75.99,12.75
Sitka,17,US,1559411944,61,37.17,-99.65,77.0,11.99
Yarmouth,0,GB,1559411944,68,50.71,-1.5,73.4,9.17
Atuona,0,PF,1559411944,77,-9.8,-139.03,81.77,12.41
Airai,76,TL,1559411944,75,-8.93,125.41,74.03,10.42
Kodiak,1,US,1559411945,24,39.95,-94.76,84.99,11.83
Touros,20,BR,1559411945,62,-5.2,-35.46,86.0,11.41
Rawson,90,AR,1559411946,45,-43.3,-65.11,57.65,8.16
Chuy,4,UY,1559411946,59,-33.69,-53.46,62.33,5.73
Araouane,30,ML,1559411946,7,18.9,-3.53,105.35,9.44
Belaya Gora,0,RU,1559411947,65,68.54,146.19,49.01,4.05
Arraial do Cabo,20,BR,1559411947,83,-22.97,-42.02,80.6,9.17
Saint-Philippe,90,CA,1559411947,42,45.36,-73.48,66.99,3.36
Thompson,90,CA,1559411948,46,55.74,-97.86,42.8,8.05
Nefteyugansk,75,RU,1559411948,75,61.09,72.61,44.6,4.74
Tiksi,35,RU,1559411948,96,71.64,128.87,32.09,6.22
Hithadhoo,100,MV,1559411949,78,-0.6,73.08,84.11,9.91
Mataura,42,NZ,1559411949,91,-46.19,168.86,43.07,4.32
Arman,86,RU,1559411949,94,59.7,150.17,40.37,2.86
Avarua,0,CK,1559411950,88,-21.21,-159.78,75.2,10.29
Kuching,75,MY,1559411788,100,1.56,110.34,78.8,3.36
Sao Filipe,6,CV,1559411950,86,14.9,-24.5,73.13,18.86
Barra do Garcas,75,BR,1559411950,41,-15.89,-52.26,93.2,4.7
Dolores,99,AR,1559411951,65,-36.31,-57.68,63.05,10.13
Pimentel,96,BR,1559411951,92,-3.7,-45.5,82.13,3.29
Ndioum,0,SN,1559411952,11,16.51,-14.65,105.17,14.74
Qaanaaq,100,GL,1559411952,85,77.48,-69.36,26.69,6.85
Raudeberg,38,NO,1559411952,70,61.99,5.14,50.0,10.29
Havoysund,100,NO,1559411952,93,71.0,24.66,41.0,24.16
Santa Fe,95,AR,1559411736,77,-31.62,-60.7,64.0,4.0
Thunder Bay,75,CA,1559411953,58,48.41,-89.26,62.01,10.29
Srednekolymsk,0,RU,1559411953,77,67.46,153.71,38.75,9.93
Cayenne,20,GF,1559411722,66,4.94,-52.33,87.8,12.75
Bathsheba,20,BB,1559411954,66,13.22,-59.52,86.0,18.34
Isangel,100,VU,1559411954,75,-19.55,169.27,74.39,16.6
Samarai,100,PG,1559411954,92,-10.62,150.67,74.03,5.82
Vila Franca do Campo,75,PT,1559411955,94,37.72,-25.43,68.0,6.93
Maceio,40,BR,1559411811,58,-9.67,-35.74,84.2,11.41
Bintulu,75,MY,1559411955,94,3.17,113.03,80.6,3.36
Mareeba,90,AU,1559411956,77,-16.99,145.42,69.8,14.99
Norman Wells,90,CA,1559411956,71,65.28,-126.83,51.8,8.05
Caxito,20,BR,1559411956,74,-22.65,-42.51,80.6,10.29
Scicli,20,IT,1559411957,63,36.79,14.7,66.2,6.93
Diban,5,SY,1559411957,12,35.02,40.51,98.87,12.48
Podosinovets,36,RU,1559411957,65,60.28,47.06,52.25,5.88
Ziarat,0,PK,1559411958,23,30.38,67.73,69.17,10.58
Chongwe,0,ZM,1559411958,37,-15.33,28.68,66.2,2.24
Flinders,5,AU,1559411958,93,-34.58,150.85,61.0,6.93
May Pen,20,JM,1559411959,74,17.97,-77.26,86.0,14.99
Changji,37,CN,1559411959,67,32.07,116.17,70.43,4.56
Nouna,100,BF,1559411959,36,12.73,-3.87,97.25,5.08
Pindiga,20,NG,1559411959,49,9.98,10.93,89.6,14.99
Plouzane,0,FR,1559411960,49,48.38,-4.62,78.8,14.99
Sunrise Manor,1,US,1559411960,21,36.21,-115.07,87.01,10.29
Lagdo,75,CM,1559411960,52,9.06,13.67,91.4,6.93
La Orilla,100,MX,1559411960,74,18.0,-102.23,81.77,10.02
Port Hardy,90,CA,1559411961,76,50.7,-127.42,55.4,4.7
Tura,0,IN,1559411961,80,25.52,90.21,77.63,5.41
Aklavik,20,CA,1559411961,65,68.22,-135.01,51.8,10.29
Hasaki,75,JP,1559411961,100,35.73,140.83,63.0,1.12
Sol-Iletsk,82,RU,1559411962,54,51.16,55.0,76.19,6.33
Naze,75,NG,1559411962,94,5.43,7.07,77.0,5.82
Khulna,36,BD,1559411962,76,22.82,89.55,83.75,8.84
Praya,20,ID,1559411963,78,-8.71,116.27,78.8,13.87
Antequera,48,PY,1559411963,75,-24.09,-57.2,69.71,5.53
Klaksvik,100,FO,1559411963,81,62.23,-6.59,44.6,12.75
Broken Hill,90,AU,1559411964,76,-31.97,141.45,50.0,14.99
Grindavik,20,IS,1559411964,53,63.84,-22.43,53.6,12.75
Waipawa,94,NZ,1559411964,81,-39.94,176.59,44.01,10.0
Dicabisagan,100,PH,1559411964,85,17.08,122.42,77.63,3.29
Okhotsk,94,RU,1559411965,94,59.36,143.24,38.75,3.96
Dikson,89,RU,1559411965,95,73.51,80.55,31.73,13.49
Champerico,90,MX,1559411965,69,16.38,-93.6,78.8,2.24
Albina,33,GF,1559411965,90,5.5,-54.06,81.95,5.48
Chegutu,0,ZW,1559411966,38,-18.13,30.15,60.71,2.68
Vanimo,80,PG,1559411966,76,-2.67,141.3,83.57,15.23
Durant,1,US,1559411882,54,33.99,-96.37,89.01,3.36
Ostrovnoy,97,RU,1559411966,56,68.05,39.51,48.29,18.1
Ritchie,0,ZA,1559411967,62,-29.03,24.6,53.6,4.7
Zhanaozen,21,KZ,1559411967,29,43.35,52.85,84.47,9.53
Vila,0,IT,1559411967,31,45.18,8.4,82.0,8.05
Mayo,90,CA,1559411968,87,63.59,-135.9,50.0,4.7
Shenkursk,3,RU,1559411968,48,62.11,42.91,53.87,6.64
Luderitz,0,NA,1559411968,93,-26.65,15.16,53.6,11.41
Khatanga,54,RU,1559411968,91,71.98,102.47,41.09,7.81
Sholokhove,58,UA,1559411969,54,47.69,34.03,78.35,4.88
Nanortalik,2,GL,1559411969,81,60.14,-45.24,36.59,8.46
Chapais,75,CA,1559411969,53,49.78,-74.86,50.0,10.29
Mastic Beach,1,US,1559411834,56,40.77,-72.85,80.01,5.82
Victoria,75,BN,1559411678,94,5.28,115.24,82.4,2.8
Geraldton,75,CA,1559411970,30,49.72,-86.95,57.2,3.36
Pisco,0,PE,1559411971,30,-13.71,-76.2,71.6,10.29
Qaqortoq,40,GL,1559411971,49,60.72,-46.03,48.2,8.05
Quimperle,0,FR,1559411971,50,47.87,-3.55,77.0,5.82
Waingapu,60,ID,1559411972,87,-9.65,120.26,73.85,11.5
Seminole,40,US,1559411972,51,32.72,-102.64,89.01,11.41
Kinel-Cherkassy,57,RU,1559411972,83,53.47,51.47,68.63,7.25
Owensboro,1,US,1559411881,54,37.77,-87.11,82.4,4.7
Inhambane,20,MZ,1559411973,88,-23.87,35.38,68.0,3.36
Pecanha,0,BR,1559411973,42,-18.55,-42.56,83.03,2.15
Zaragoza,0,ES,1559411973,20,41.65,-0.88,91.99,5.82
Vila Velha,20,BR,1559411691,62,-3.71,-38.6,86.0,17.22
Bogorodskoye,100,RU,1559411974,98,52.37,140.44,40.19,6.17
Canto do Buriti,73,BR,1559411974,53,-8.11,-42.94,86.81,4.38
Nhulunbuy,90,AU,1559411974,69,-12.18,136.78,77.0,17.22
Brighton,0,GB,1559411975,68,50.82,-0.14,77.0,5.82
Carnarvon,26,ZA,1559411975,40,-30.97,22.13,56.93,5.26
Kijang,0,KR,1559411976,77,35.24,129.21,60.8,3.36
Aripuana,32,BR,1559411976,47,-9.17,-60.63,92.57,2.15
Tuy Hoa,81,VN,1559411976,85,13.08,109.3,76.55,1.79
Sao Miguel do Araguaia,0,BR,1559411772,31,-13.28,-50.16,94.01,2.98
Marakkanam,97,IN,1559411977,64,12.2,79.95,88.43,16.28
Karmala,74,IN,1559411977,49,18.41,75.19,88.25,18.68
Sur,0,OM,1559411977,40,22.57,59.53,95.45,7.72
La Ronge,20,CA,1559411722,40,55.1,-105.3,51.8,13.87
Likasi,63,CD,1559411978,60,-10.99,26.74,59.27,3.49
Dzilam Gonzalez,85,MX,1559411978,74,21.28,-88.93,85.19,13.56
Bowen,90,AU,1559411978,88,-20.01,148.25,64.0,6.76
Keningau,75,MY,1559411979,88,5.33,116.16,80.6,5.82
Bankura,44,IN,1559411979,70,23.24,87.07,86.0,9.17
Xuddur,100,SO,1559411979,68,4.12,43.89,78.35,16.24
Kutum,22,SD,1559411980,9,14.2,24.66,91.13,6.76
Movila,20,RO,1559411980,83,44.77,25.57,73.0,5.82
Makakilo City,75,US,1559411980,69,21.35,-158.09,80.6,11.41
Kidal,55,ML,1559411981,5,18.44,1.41,102.83,11.52
Jimo,0,CN,1559411981,60,36.39,120.46,69.8,13.42
Saldanha,0,PT,1559411981,22,41.42,-6.55,84.65,12.17
Gudur,93,IN,1559411981,53,14.15,79.85,91.13,7.74
Provideniya,17,RU,1559411982,72,64.42,-173.23,41.45,2.24
Zeya,9,RU,1559411982,81,53.74,127.27,39.83,3.96
Sorland,5,NO,1559411982,82,67.67,12.69,43.25,19.13
Coahuayana,100,MX,1559411983,36,18.62,-100.35,97.25,2.64
Itarema,64,BR,1559411983,72,-2.92,-39.92,85.01,10.25
Tuatapere,58,NZ,1559411983,70,-46.13,167.69,50.99,19.64
Karratha,0,AU,1559411984,14,-20.74,116.85,65.39,16.28
San Roque,75,EC,1559411984,43,0.3,-78.23,71.6,5.82
Porto Velho,40,BR,1559411985,84,-8.75,-63.87,89.6,3.36
Chicama,0,PE,1559411985,77,-7.84,-79.15,69.8,11.41
Sept-Iles,40,CA,1559411726,50,50.2,-66.38,53.6,13.87
West Wendover,1,US,1559411985,55,40.74,-114.07,66.2,4.7
Ponerihouen,100,NC,1559411986,85,-21.08,165.4,60.89,2.68
Staryy Nadym,49,RU,1559411986,87,65.61,72.68,29.21,1.79
Lac du Bonnet,23,CA,1559411986,35,50.25,-96.06,60.01,4.0
Umm Lajj,78,SA,1559411986,64,25.02,37.27,88.25,4.29
Pesqueira,73,BR,1559411987,59,-8.36,-36.7,81.23,7.43
Winnemucca,1,US,1559411987,55,40.97,-117.74,66.0,9.17
Nagtipunan,100,PH,1559411987,84,16.22,121.6,75.47,3.0
Broome,0,GB,1559411987,60,52.47,1.45,75.2,11.41
Praia,20,BR,1559411988,30,-20.25,-43.81,84.2,9.17
Lakatoro,30,VU,1559411988,73,-16.11,167.42,78.17,15.73
Ponta Delgada,75,PT,1559411988,94,37.73,-25.67,68.0,6.93
Vagay,0,RU,1559411989,61,57.94,69.02,49.73,3.09
Haines Junction,81,CA,1559411989,42,60.75,-137.51,48.83,7.2
Guerrero Negro,66,MX,1559411989,76,27.97,-114.04,64.31,7.58
Matane,40,CA,1559411703,67,48.83,-67.52,57.2,16.11
Daru,77,SL,1559411990,91,7.99,-10.85,79.61,4.12
Talnakh,90,RU,1559411990,100,69.49,88.39,30.2,8.95
Novyy Urgal,92,RU,1559411990,92,51.07,132.56,43.25,1.25
Faranah,82,GN,1559411990,67,10.04,-10.74,85.19,7.14
Napier,97,NZ,1559411991,63,-39.49,176.92,52.0,11.01
Ribeira Grande,75,PT,1559411741,88,38.52,-28.7,69.8,14.99
Caravelas,0,BR,1559411991,55,-17.73,-39.27,86.81,4.79
Eruwa,96,NG,1559411991,66,7.53,3.42,83.03,6.33
Volsk,85,RU,1559411992,59,52.04,47.39,74.75,5.57
Portland,20,US,1559411879,67,45.52,-122.67,72.0,5.82
Pevek,5,RU,1559411992,84,69.7,170.27,33.53,12.06
Wolbrom,40,PL,1559411993,68,50.38,19.76,71.01,5.82
Santiago,75,CL,1559411884,41,-33.44,-70.65,64.0,5.7
Saint-Augustin,0,FR,1559411994,33,44.83,-0.61,89.6,9.17
Sangar,73,RU,1559411994,83,63.92,127.47,47.57,4.81
Qarqin,0,AF,1559411994,24,37.41,66.03,86.09,11.45
Dalvik,78,SE,1559411995,71,57.79,14.13,57.0,21.92
Kushima,77,JP,1559411995,85,31.5,131.29,68.0,3.33
Saint-Pierre,0,FR,1559411974,42,48.95,4.24,82.4,4.18
Wodonga,0,AU,1559411996,93,-36.12,146.89,44.01,4.21
Calatayud,0,ES,1559411996,25,41.35,-1.64,91.0,5.82
Goderich,90,CA,1559411997,70,43.74,-81.71,68.0,7.0
Bhusawal,34,IN,1559411997,37,21.05,75.78,95.45,15.21
Khandyga,97,RU,1559411997,67,62.65,135.58,49.01,2.84
Brae,100,GB,1559411997,87,60.4,-1.35,53.6,10.29
Plettenberg Bay,64,ZA,1559411998,88,-34.05,23.37,57.47,0.92
Conde,13,BR,1559411998,79,-11.81,-37.61,80.15,6.29
Carandai,40,BR,1559411731,47,-20.95,-43.81,77.0,6.93
Ploemeur,0,FR,1559411999,50,47.73,-3.43,77.0,5.82
Yeniseysk,24,RU,1559411999,81,58.45,92.17,36.95,5.95
Tuktoyaktuk,20,CA,1559411999,77,69.44,-133.03,46.4,13.87
Resistencia,90,AR,1559411999,88,-27.45,-58.99,64.4,4.7
Camden,1,US,1559411752,47,39.94,-75.12,84.0,3.36
Vaasa,90,FI,1559412000,87,63.1,21.62,50.0,1.12
Fernandina Beach,1,US,1559412000,40,30.67,-81.46,96.01,11.41
Lagoa,0,PT,1559412002,44,37.14,-8.45,78.01,6.93
Fortuna,0,ES,1559412005,33,38.18,-1.13,78.01,8.05
Namibe,21,AO,1559412005,85,-15.19,12.15,66.83,11.32
Ancud,40,CL,1559412005,81,-41.87,-73.83,53.6,13.87
Itoman,75,JP,1559412006,94,26.12,127.67,78.8,14.99
Uruzgan,2,AF,1559412006,32,32.93,66.63,61.43,4.94
Kawalu,95,ID,1559412006,96,-7.38,108.21,67.73,3.47
Torbay,90,CA,1559412007,75,47.66,-52.73,46.99,10.29
Aljezur,0,PT,1559412007,52,37.31,-8.8,78.01,4.0
Tigil,90,RU,1559412008,86,57.8,158.67,46.85,4.09
Voyvozh,100,RU,1559412008,90,62.89,54.96,51.89,7.67
Kaitangata,35,NZ,1559412008,85,-46.28,169.85,41.0,4.0
Port Moresby,75,PG,1559412009,94,-9.47,147.16,75.2,9.17
Ligatne,100,LV,1559412009,68,57.23,25.04,63.0,1.01
Poum,75,MK,1559412009,63,41.28,20.71,60.8,2.24
Half Moon Bay,5,US,1559411907,77,37.46,-122.43,75.99,5.82
Namatanai,92,PG,1559412010,88,-3.66,152.44,78.35,12.08
Harer,1,US,1559412010,51,42.19,-111.17,69.01,3.27
Baykit,11,RU,1559412010,78,61.68,96.39,36.77,3.89
Banda Aceh,100,ID,1559412010,69,5.56,95.32,83.93,4.81
Rognan,75,NO,1559411840,75,67.1,15.4,44.6,16.11
Maebaru,100,JP,1559412011,77,33.55,130.2,69.01,1.12
Karad,66,IN,1559412011,79,17.29,74.18,77.27,8.63
Shubarkuduk,76,KZ,1559412012,37,49.15,56.49,79.25,4.32
Port-Gentil,20,GA,1559412012,83,-0.72,8.78,78.8,11.41
Pitimbu,40,BR,1559411923,62,-7.47,-34.81,86.0,9.17
Nizhniy Tsasuchey,60,RU,1559412012,46,50.52,115.13,53.15,2.13
Sindor,59,RU,1559412013,86,62.87,51.9,49.91,5.14
Vardo,1,US,1559412013,42,39.62,-77.74,84.0,5.82
Ilulissat,20,GL,1559412013,65,69.22,-51.1,41.0,8.05
Mamontovo,58,RU,1559412014,78,52.71,81.63,47.57,6.4
Saucillo,0,MX,1559412014,31,28.03,-105.29,89.69,11.86
Esmeraldas,20,BR,1559412014,37,-19.76,-44.31,84.2,8.05
Nome,40,US,1559412015,58,30.04,-94.42,90.0,4.7
Kruisfontein,32,ZA,1559412015,91,-34.0,24.73,56.21,0.25
Tieling,100,CN,1559412015,48,42.29,123.84,65.21,15.46
Belem de Sao Francisco,70,BR,1559412016,44,-8.75,-38.97,87.89,8.88
Charleston,1,US,1559412002,64,38.35,-81.63,78.01,3.89
Itupiranga,75,BR,1559412016,63,-5.13,-49.33,91.4,4.7
Cururupu,77,BR,1559412016,90,-1.82,-44.87,82.67,3.87
Antonina,90,BR,1559411730,77,-25.43,-48.71,68.0,3.36
Porto Novo,75,BR,1559412017,54,-23.68,-45.44,80.6,9.17
Colares,0,PT,1559412017,32,38.8,-9.45,88.0,13.87
Serebryansk,30,KZ,1559412018,91,49.68,83.3,53.33,4.88
Kamenka,73,RU,1559412018,93,53.19,44.05,61.25,5.08
Fare,0,PF,1559412018,68,-16.7,-151.02,80.51,6.17
Rudnichnyy,47,RU,1559412018,59,59.7,60.29,55.85,7.49
Hambantota,100,LK,1559412019,82,6.12,81.12,83.03,16.89
Poya,100,NC,1559412019,70,-21.35,165.16,72.41,14.18
North Battleford,1,CA,1559412019,32,52.78,-108.3,73.0,12.75
Rafaela,96,AR,1559411889,65,-31.25,-61.49,64.99,1.01
Abnub,0,EG,1559412020,29,27.27,31.15,98.6,13.87
Ejigbo,93,NG,1559412020,70,7.9,4.32,81.23,4.99
Conceicao do Araguaia,36,BR,1559412021,49,-8.26,-49.26,90.41,4.81
Teyateyaneng,14,LS,1559412021,41,-29.15,27.74,47.93,1.86
Ouadda,97,CF,1559412021,85,8.07,22.4,73.49,3.42
Moree,90,AU,1559412008,62,-29.46,149.84,52.0,6.93
Hofn,99,IS,1559411999,76,64.25,-15.21,31.19,5.82
Lokosovo,25,RU,1559412022,71,61.13,74.84,43.97,5.06
Banjarmasin,86,ID,1559412022,90,-3.32,114.59,78.35,5.21
Faya,75,SA,1559412022,87,18.39,42.45,60.8,9.17
Chalons-en-Champagne,0,FR,1559412023,42,48.95,4.37,82.4,4.18
Vestmanna,100,FO,1559412023,81,62.16,-7.17,44.6,12.75
Eastbourne,0,ZA,1559412023,37,-27.81,30.13,47.39,1.25
Tiarei,75,PF,1559412023,73,-17.53,-149.33,77.0,1.12
Santa Rosa del Sur,100,CO,1559412024,54,7.96,-74.05,87.35,2.66
Rostovka,20,RU,1559412024,93,55.02,73.58,55.4,4.47
Iqaluit,20,CA,1559412025,36,63.75,-68.52,35.6,4.7
Fairbanks,90,US,1559411761,93,64.84,-147.72,54.0,19.46
Faanui,0,PF,1559412025,72,-16.48,-151.75,81.23,8.3
Dunedin,68,NZ,1559412026,80,-45.87,170.5,41.0,15.99
Soyo,20,AO,1559412026,78,-6.13,12.37,77.0,8.05
Buin,75,CL,1559412026,41,-33.73,-70.74,64.0,0.98
Fort Nelson,90,CA,1559412026,87,58.81,-122.69,53.6,7.54
Burnie,41,AU,1559412027,85,-41.05,145.91,44.01,1.99
Bilma,51,NE,1559412027,14,18.69,12.92,100.49,5.66
Bazhovo,40,RU,1559412027,63,55.06,61.61,66.2,4.47
Coihaique,90,CL,1559412028,93,-45.58,-72.07,37.4,3.27
Katsuura,75,JP,1559412028,88,33.93,134.5,68.0,2.24
Anshun,28,CN,1559412028,71,26.25,105.93,56.75,3.4
Lavrentiya,50,RU,1559412028,71,65.58,-170.99,40.55,5.12
Laguna,75,MX,1559412029,65,27.52,-110.01,80.6,9.17
Cabinda,20,AO,1559412029,78,-5.56,12.19,77.0,8.05
Kiama,2,AU,1559412029,93,-34.67,150.86,61.0,6.93
Luwuk,99,ID,1559412030,99,-0.95,122.79,66.47,2.98
Neepawa,75,CA,1559412030,32,50.23,-99.46,66.2,14.99
Teteven,40,BG,1559412030,56,42.92,24.26,73.4,2.24
Tecoanapa,90,MX,1559412031,70,16.99,-99.26,86.0,6.08
Shelburne,1,CA,1559412031,72,44.08,-80.2,73.99,3.36
Mayskiy,59,RU,1559412031,50,43.63,44.06,75.2,2.24
Yerbogachen,57,RU,1559412031,49,61.28,108.01,50.63,6.08
Mount Isa,0,AU,1559412032,37,-20.73,139.49,53.6,11.41
Lima,90,PE,1559412002,82,-12.06,-77.04,66.2,6.93
Altamira,75,BR,1559411935,83,-3.2,-52.21,84.2,5.82
Anadyr,0,RU,1559412033,60,64.73,177.51,42.8,8.95
